Date, Day of Week, Building, Primary, Secondary
01/14/22, Friday, MSH, M9, M10
01/14/22, Friday, WDW, W10, W11
01/15/22, Saturday, MSH, M1, M2
01/15/22, Saturday, WDW, W1, M3
01/16/22, Sunday, MSH, M4, M5
01/16/22, Sunday, WDW, W2, M6
01/17/22, Monday, MSH, M2, M3
01/17/22, Monday, WDW, W1, M4
01/18/22, Tuesday, MSH, M1, M6
01/18/22, Tuesday, WDW, W5, M8
01/19/22, Wednesday, MSH, M5, M7
01/19/22, Wednesday, WDW, W2, M9
01/20/22, Thursday, MSH, M6, W3
01/20/22, Thursday, WDW, W4, W6
01/21/22, Friday, MSH, M7, M8
01/21/22, Friday, WDW, W3, W4
01/22/22, Saturday, MSH, M10, W5
01/22/22, Saturday, WDW, W6, W7
01/23/22, Sunday, MSH, M10, W8
01/23/22, Sunday, WDW, W10, M2
01/24/22, Monday, MSH, M3, W7
01/24/22, Monday, WDW, W9, W1
01/25/22, Tuesday, MSH, M4, W11
01/25/22, Tuesday, WDW, W5, M1
01/26/22, Wednesday, MSH, M7, M5
01/26/22, Wednesday, WDW, W2, M9
01/27/22, Thursday, MSH, M6, W4
01/27/22, Thursday, WDW, W3, W6
01/28/22, Friday, MSH, M9, W8
01/28/22, Friday, WDW, W9, W10
01/29/22, Saturday, MSH, M2, M1
01/29/22, Saturday, WDW, W11, W1
01/30/22, Sunday, MSH, M8, M10
01/30/22, Sunday, WDW, W8, W10
01/31/22, Monday, MSH, M2, W9
01/31/22, Monday, WDW, W7, M3
02/01/22, Tuesday, MSH, M4, W5
02/01/22, Tuesday, WDW, W11, M1
02/02/22, Wednesday, MSH, M5, W2
02/02/22, Wednesday, WDW, W6, M7
02/03/22, Thursday, MSH, M9, W1
02/03/22, Thursday, WDW, W4, M6
02/04/22, Friday, MSH, M3, M4
02/04/22, Friday, WDW, W2, M7
02/05/22, Saturday, MSH, M5, W3
02/05/22, Saturday, WDW, W4, M6
02/06/22, Sunday, MSH, M8, M10
02/06/22, Sunday, WDW, W8, W10
02/07/22, Monday, MSH, M2, W3
02/07/22, Monday, WDW, W9, W7
02/08/22, Tuesday, MSH, M3, M4
02/08/22, Tuesday, WDW, W5, W11
02/09/22, Wednesday, MSH, M1, M5
02/09/22, Wednesday, WDW, W2, M7
02/10/22, Thursday, MSH, M9, W4
02/10/22, Thursday, WDW, W6, W1
02/11/22, Friday, MSH, M8, W6
02/11/22, Friday, WDW, W5, M9
02/12/22, Saturday, MSH, M10, W9
02/12/22, Saturday, WDW, W7, W8
02/13/22, Sunday, MSH, M10, M8
02/13/22, Sunday, WDW, W10, W8
02/14/22, Monday, MSH, M6, M2
02/14/22, Monday, WDW, W3, W9
02/15/22, Tuesday, MSH, M3, W5
02/15/22, Tuesday, WDW, W11, M4
02/16/22, Wednesday, MSH, M1, W7
02/16/22, Wednesday, WDW, W2, M5
02/17/22, Thursday, MSH, M9, W4
02/17/22, Thursday, WDW, W1, W6
02/18/22, Friday, MSH, M1, W10
02/18/22, Friday, WDW, W1, M2
02/19/22, Saturday, MSH, M3, W2
02/19/22, Saturday, WDW, W11, M4
02/20/22, Sunday, MSH, M7, M5
02/20/22, Sunday, WDW, W3, W4
02/21/22, Monday, MSH, M7, M8
02/21/22, Monday, WDW, W3, M10
02/22/22, Tuesday, MSH, M2, W8
02/22/22, Tuesday, WDW, W10, M6
